True Draft Value,Predicted Draft Value,True Draft Position,Predicted Draft Position
120.0,14.542615,95.0,192.0
25.8,14.541144,164.0,192.0
24.2,14.536638,168.0,192.0
0.0,14.534596,300.0,192.0
22.2,14.543028,173.0,192.0
36.0,14.500023,140.0,192.0
128.0,14.542571,93.0,192.0
9.4,14.540578,205.0,192.0
96.0,14.543918,101.0,192.0
31.4,14.543414,150.0,192.0
420.0,14.541574,48.0,192.0
0.0,14.543768,300.0,192.0
550.0,14.542594,35.0,192.0
330.0,14.541053,57.0,192.0
136.0,14.540179,91.0,192.0
0.0,14.540963,300.0,192.0
27.0,14.543306,161.0,192.0
29.8,14.542762,154.0,192.0
74.0,14.542801,110.0,192.0
124.0,14.5441675,94.0,192.0
0.0,14.533875,300.0,192.0
39.5,14.544311,133.0,192.0
3.4,14.527289,220.0,192.0
66.0,14.535331,114.0,192.0
540.0,14.542574,36.0,192.0
240.0,14.54246,70.0,192.0
33.5,14.542579,145.0,192.0
640.0,14.54463,29.0,192.0
27.4,14.533297,160.0,192.0
0.0,14.541054,300.0,192.0
0.0,14.5238085,300.0,192.0
1400.0,14.539372,8.0,192.0
550.0,14.543275,35.0,192.0
0.0,14.530988,300.0,192.0
112.0,14.543704,97.0,192.0
235.0,14.540801,71.0,192.0
14.6,14.525693,192.0,192.0
72.0,14.54262,111.0,192.0
2600.0,14.543475,2.0,192.0
41.0,14.53804,131.0,192.0
22.2,14.543296,173.0,192.0
49.0,14.540589,123.0,192.0
72.0,14.542861,111.0,192.0
1100.0,14.542569,14.0,192.0
270.0,14.541205,64.0,192.0
780.0,14.537585,22.0,192.0
28.2,14.541709,158.0,192.0
7.0,14.543573,211.0,192.0
720.0,14.542659,25.0,192.0
590.0,14.54297,32.0,192.0
19.0,14.5208025,181.0,192.0
180.0,14.543765,82.0,192.0
60.0,14.544196,117.0,192.0
132.0,14.539954,92.0,192.0
300.0,14.543143,60.0,192.0
0.0,14.525937,300.0,192.0
255.0,14.540771,67.0,192.0
200.0,14.543284,78.0,192.0
17.8,14.517863,184.0,192.0
60.0,14.542304,117.0,192.0
29.8,14.543714,154.0,192.0
28.6,14.5435505,157.0,192.0
14.6,14.545127,192.0,192.0
36.0,14.501946,140.0,192.0
0.0,14.5416155,300.0,192.0
950.0,14.542279,17.0,192.0
66.0,14.541352,114.0,192.0
29.8,14.54289,154.0,192.0
0.0,14.540418,300.0,192.0
0.0,14.54222,300.0,192.0
28.6,14.54255,157.0,192.0
260.0,14.540863,66.0,192.0
460.0,14.543365,44.0,192.0
29.8,14.541722,154.0,192.0
875.0,14.542607,19.0,192.0
42.0,14.543246,130.0,192.0
92.0,14.537946,102.0,192.0
225.0,14.542659,73.0,192.0
21.4,14.535441,175.0,192.0
310.0,14.538789,59.0,192.0
800.0,14.53885,21.0,192.0
240.0,14.542792,70.0,192.0
13.8,14.542119,194.0,192.0
43.0,14.541606,129.0,192.0
26.6,14.54345,162.0,192.0
2.0,14.540446,224.0,192.0
160.0,14.542449,86.0,192.0
64.0,14.542662,115.0,192.0
21.4,14.541615,175.0,192.0
28.6,14.53847,157.0,192.0
14.6,14.54472,192.0,192.0
700.0,14.540521,26.0,192.0
39.5,14.539235,133.0,192.0
0.0,14.542801,300.0,192.0
2.6,14.50863,222.0,192.0
136.0,14.540971,91.0,192.0
470.0,14.542771,43.0,192.0
0.0,14.541573,300.0,192.0
27.0,14.540538,161.0,192.0
24.2,14.542182,168.0,192.0
37.5,14.518823,137.0,192.0
0.0,14.520862,300.0,192.0
0.0,14.54312,300.0,192.0
28.2,14.543609,158.0,192.0
24.2,14.542509,168.0,192.0
875.0,14.538632,19.0,192.0
284.0,14.541813,62.0,192.0
38.5,14.537097,135.0,192.0
3000.0,14.542856,1.0,192.0
21.0,14.540013,176.0,192.0
1350.0,14.542399,9.0,192.0
30.6,14.541626,152.0,192.0
37.5,14.540811,137.0,192.0
510.0,14.540074,39.0,192.0
225.0,14.543988,73.0,192.0
4.6,14.472579,217.0,192.0
34.5,14.538618,143.0,192.0
560.0,14.542326,34.0,192.0
18.2,14.540944,183.0,192.0
29.4,14.542815,155.0,192.0
23.8,14.5386,169.0,192.0
292.0,14.542779,61.0,192.0
27.0,14.53104,161.0,192.0
1050.0,14.543398,15.0,192.0
11.0,14.5408945,201.0,192.0
1400.0,14.540482,8.0,192.0
380.0,14.54321,52.0,192.0
12.6,14.542027,197.0,192.0
580.0,14.538569,33.0,192.0
33.5,14.529547,145.0,192.0
190.0,14.543172,80.0,192.0
54.0,14.544208,120.0,192.0
84.0,14.54427,105.0,192.0
140.0,14.542459,90.0,192.0
37.0,14.526174,138.0,192.0
13.8,14.542681,194.0,192.0
800.0,14.539537,21.0,192.0
18.2,14.533518,183.0,192.0
720.0,14.544032,25.0,192.0
580.0,14.543168,33.0,192.0
0.0,14.543042,300.0,192.0
0.0,14.542333,300.0,192.0
23.4,14.546138,170.0,192.0
160.0,14.5430975,86.0,192.0
15.0,14.542626,191.0,192.0
35.5,14.545541,141.0,192.0
16.2,14.543324,188.0,192.0
45.0,14.540561,127.0,192.0
490.0,14.542264,41.0,192.0
185.0,14.538335,81.0,192.0
21.0,14.482911,176.0,192.0
400.0,14.539599,50.0,192.0
42.0,14.543902,130.0,192.0
20.2,14.538606,178.0,192.0
25.4,14.540934,165.0,192.0
420.0,14.542054,48.0,192.0
10.6,14.518977,202.0,192.0
600.0,14.541971,31.0,192.0
27.8,14.540547,159.0,192.0
0.0,14.496093,300.0,192.0
37.5,14.536475,137.0,192.0
7.4,14.539052,210.0,192.0
116.0,14.54177,96.0,192.0
23.4,14.54409,170.0,192.0
7.0,14.543897,211.0,192.0
29.8,14.531749,154.0,192.0
740.0,14.541413,24.0,192.0
40.0,14.543789,132.0,192.0
11.0,14.541898,201.0,192.0
27.0,14.543683,161.0,192.0
160.0,14.541203,86.0,192.0
116.0,14.544633,96.0,192.0
0.0,14.5314245,300.0,192.0
370.0,14.541917,53.0,192.0
1200.0,14.542937,12.0,192.0
440.0,14.530388,46.0,192.0
0.0,14.541361,300.0,192.0
9.8,14.5361185,204.0,192.0
2.3,14.538035,223.0,192.0
23.8,14.538005,169.0,192.0
0.0,14.544382,300.0,192.0
230.0,14.543117,72.0,192.0
6.2,14.521771,213.0,192.0
0.0,14.542405,300.0,192.0
0.0,14.541158,300.0,192.0
76.0,14.54192,109.0,192.0
45.0,14.5431385,127.0,192.0
340.0,14.54351,56.0,192.0
38.0,14.543409,136.0,192.0
52.0,14.54249,121.0,192.0
660.0,14.541051,28.0,192.0
0.0,14.541326,300.0,192.0
230.0,14.536588,72.0,192.0
120.0,14.542546,95.0,192.0
7.4,14.541551,210.0,192.0
0.0,14.540224,300.0,192.0
104.0,14.541425,99.0,192.0
760.0,14.541954,23.0,192.0
25.4,14.539939,165.0,192.0
660.0,14.540776,28.0,192.0
49.0,14.541378,123.0,192.0
47.0,14.537325,125.0,192.0
12.2,14.540336,198.0,192.0
49.0,14.543784,123.0,192.0
7.8,14.542016,209.0,192.0
0.0,14.49227,300.0,192.0
2200.0,14.539539,3.0,192.0
440.0,14.542077,46.0,192.0
12.6,14.531701,197.0,192.0
